Country,Month,Year,Events
Kenya,May,2016,17
Kenya,June,2016,19
Kenya,July,2016,7
Kenya,August,2016,10
Kenya,September,2016,23
Kenya,October,2016,21
Kenya,November,2016,18
Kenya,December,2016,10
Kenya,January,2017,11
Kenya,February,2017,15
Kenya,March,2017,18
Kenya,April,2017,52
Kenya,May,2017,52
Kenya,June,2017,25
Kenya,July,2017,23
Kenya,August,2017,65
Kenya,September,2017,35
Kenya,October,2017,117
Kenya,November,2017,31
Kenya,December,2017,4
Kenya,January,2018,25
Kenya,February,2018,28
Kenya,March,2018,19
Kenya,April,2018,20
Kenya,May,2018,18
Kenya,June,2018,23
Kenya,July,2018,19
Kenya,August,2018,20
Kenya,September,2018,28
Kenya,October,2018,21
Kenya,November,2018,15
Kenya,December,2018,10
Kenya,January,2019,17
Kenya,February,2019,10
Kenya,March,2019,24
Kenya,April,2019,11
Kenya,May,2019,22
Kenya,June,2019,10
Kenya,July,2019,17
Kenya,August,2019,12
Kenya,September,2019,28
Kenya,October,2019,33
Kenya,November,2019,15
Kenya,December,2019,16
Kenya,January,2020,36
Kenya,February,2020,11
Kenya,March,2020,18
Kenya,April,2020,12
Kenya,May,2020,25
Kenya,June,2020,16
Kenya,July,2020,21
Kenya,August,2020,37
Kenya,September,2020,26
Kenya,October,2020,17
Kenya,November,2020,18
Kenya,December,2020,17
Kenya,January,2021,25
Kenya,February,2021,17
Kenya,March,2021,10
Kenya,April,2021,6
Kenya,May,2021,17
Kenya,June,2021,15
Kenya,July,2021,22
Kenya,August,2021,28
Kenya,September,2021,32
Kenya,October,2021,25
Kenya,November,2021,24
Kenya,December,2021,18
Kenya,January,2022,37
Kenya,February,2022,32
Kenya,March,2022,58
Kenya,April,2022,124
Kenya,May,2022,75
Kenya,June,2022,69
Kenya,July,2022,52
Kenya,August,2022,62
Kenya,September,2022,39
Kenya,October,2022,59
Kenya,November,2022,35
Kenya,December,2022,30
Kenya,January,2023,50
Kenya,February,2023,83
Kenya,March,2023,161
Kenya,April,2023,62
Kenya,May,2023,106
Kenya,June,2023,75
Kenya,July,2023,213
Kenya,August,2023,62
Kenya,September,2023,77
Kenya,October,2023,108
Kenya,November,2023,101
Kenya,December,2023,68
Kenya,January,2024,140
Kenya,February,2024,125
Kenya,March,2024,94
Kenya,April,2024,92
Kenya,May,2024,206
Kenya,June,2024,245
Kenya,July,2024,251
Kenya,August,2024,235
Kenya,September,2024,221
Kenya,October,2024,132
Kenya,November,2024,134
Kenya,December,2024,133
Kenya,January,2025,153
Kenya,February,2025,135
Kenya,March,2025,137
Kenya,April,2025,112
Kenya,May,2025,137
Kenya,June,2025,205
Kenya,July,2025,191
Kenya,August,2025,117
Kenya,September,2025,217
Kenya,October,2025,22
